name,product_id,price
Karcher Universal Hose Connector,426952831,Rp 74.925
Karcher Tap adaptor with reducer G3/4,426950831,Rp 41.625
Karcher HR25 Hose Reel,417131784,Rp 684.315
Karcher K 2.360 1400Watt 120Bar High Pressure Washer,417030422,Rp 2.497.500
Karcher K1 850Watt 90Bar High Pressure Washer,417025294,Rp 1.298.700
Karcher WD 1S Classic *KAP 1300 Watt Vacuum Cleaner Wet & Dry,1733819557,Rp 1.548.450
Karcher Water Filter Basic Line For K2 - K7 Series,425635809,Rp 185.000
Karcher Spray Nozzle Mini,426960695,Rp 88.800
Karcher Spray Gun Nozzle,426963671,Rp 249.750
Karcher WD 1 Classic *KAP 1200 Watt Vacuum Cleaner Wet & Dry,429159589,Rp 1.298.700
Karcher VP 180 S Vario Power Jet Short 360° For K2 - K7 Series,425621268,Rp 701.250
Karcher FJ 3 Foam Jet Nozzle Basic Line,425609190,Rp 237.500
Karcher Cartridge Filter For WD2 - WD3 Series,510463183,Rp 222.000
Karcher Universal Hose Connector with Aqua Stop,426956930,Rp 133.200
Karcher Paper Filter Bag For WD 2,426476521,Rp 166.500
Karcher FJ 6 Foam Jet Nozzle,425611913,Rp 310.800
Karcher VC 3 Premium (ERP) *KAP 700 Watt Vacuum Cleaner Dry (white),427686761,Rp 2.197.800
Karcher K 2 Universal Edition Car 900 Watt High Pressure Washer,2102451745,Rp 1.998.000
Karcher FJ 10C Connect 'N' Clean Foam And Care Nozzle With Car Shampo,431845510,Rp 471.750
Karcher Filter Blue Packaged For WD 1,426465663,Rp 63.825
Karcher K 3 Plus HR *KAP 1600 Watt High Pressure Washer,2102382588,Rp 3.746.250
Karcher SC 3 EasyFix Premium *EU Steam Cleaner (white),427695211,Rp 4.595.400
Karcher Fleece Filter Bag Set Package For WD 4 - WD 6,426484366,Rp 222.000
Bubble Wrap Hitam (Extra Bubble Wrap),1426460255,Rp 2.000
Karcher Foamstop Neutral 125 ml,1252936323,Rp 127.650
Karcher Carpet Cleaner Liquid RM 519,1611779548,Rp 144.300
Karcher NT 30/1 Me Classic *CN 1500W 28L Vacuum Cleaner Wet & Dry,1743798830,Rp 2.650.000
Karcher Fleece Filter Bag Set Package For VC 2,426525301,Rp 271.950
Karcher VC 3 (ERP) 700 Watt Vacuum Cleaner Dry,446286210,Rp 1.998.000
Karcher Flat Fold Filter For WD 4/5/6,426480909,Rp 277.500
Karcher Multi Functional Spray Gun,426965145,Rp 184.000
Karcher Filter Packaged HEPA 13 For VC 2,426522081,Rp 188.700
